latitude	longitude
-20.712	-64.305
-20.656	-64.34
-14.283334	-69.433334
-13.5	-70.916664
-13.5	-70.916664
-13.5	-70.916664
-13.5	-70.916664
-13.416667	-70.716667
-13.146526	-72.435234
-11.66	-73.667
-10.617	-75.333
-6.766667	-79.849998
-5.587	-78.201
-4.44167	-78.17333
-4.283	-78.633
-4.143152	-79.087559
-4.006248	-79.014559
-3.917	-78.433
-3.483	-78.233
-0.510098	-77.887729
-0.41681	-78.78343
-0.378412	-78.092185
-0.372984	-78.202232
-0.298883	-78.017979
-0.24096	-78.182332
-0.216667	-78.25
0.051306	-78.787682
0.055871	-78.77477
0.07287	-78.696274
0.187259	-78.72747
0.36202	-78.13099
0.633	-79.55
0.783	-78.3
0.991111	-77.129611
1.033333	-77.083333
2.20417	-76.496941
2.24	-77.01
2.893078	-73.784507
2.893078	-73.784507
2.893078	-73.784507
3.399294	-76.617303
3.411775	-76.654678
3.417511	-76.62685
3.546531	-76.0652
3.58455	-76.043867
3.869506	-76.12805
3.941417	-76.563027
3.997139	-71.996529
4.068417	-75.630667
4.073333	-76.509056
4.073611	-76.513056
4.26686	-72.994631
4.26686	-72.994631
4.619117	-73.746514
4.84986	-73.7166
4.84986	-73.7166
5.133361	-76.686556
5.493972	-75.898333
5.6	-75.82
5.66	-75.88
6.252222	-76.22725
6.488823	-76.165336
6.65	-75.46
6.73	-75.91
6.86	-75.82
6.91	-75.07
7.07	-75.15
7.122778	-72.233056
7.425278	-72.443889
7.45	-72.43
7.677528	-74.340333
7.682333	-74.331333
7.690083	-74.337167
7.858127	-76.029268
8.55	-77.42
8.6	-71.133331
